ÓÅ»ÝÈ¯´úÂë,d
B092489C3AA00001,0.8
B092482715E00002,0.8
B092483319400003,0.8
B0924840BEC00004,0.8
B092483525D00005,0.8
B09248D062A00006,0.8
B09248A088500007,0.8
B092487A0CF00008,0.8
B09248ACBF600009,0.8
B09248227030000A,0.8
B0924829F1E0000B,0.8
B092488EB120000C,0.8
B092483F28F0000D,0.8
B09248A72BA0000E,0.8
B09248A5B970000F,0.8
B09248AAB7F0000G,0.8
B092480F2060000H,0.8
B0924835C940000I,0.8
B092481BE7B0000J,0.8
B09248B60A80000K,0.8
B092485693E0000L,0.8
B092489AFF60000M,0.8
B092481A5190000N,0.8
B09248E001D0000O,0.8
B09248F43720000P,0.8
B09248C9F8C0000Q,0.8
B09248968C80000R,0.8
B09248CC0F10000S,0.8
B09248FAE9B0000T,0.8
B09248B123F0000U,0.8
B092489E4A30000V,0.8
B09248BEAF70000W,0.8
B092489A1AE0000X,0.8
B0924866E4C0000Y,0.8
B09248B58470000Z,0.8
B092486806C00010,0.8
B092482194500011,0.8
B09248A326700012,0.8
B09248770E900013,0.8
B092488C42B00014,0.8
B092480B32E00015,0.8
B092483DDB000016,0.8
B09248019E200017,0.8
B092483831700018,0.8
B0924880E7E00019,0.8
B09248810F10001A,0.8
B0924875E000001B,0.8
B092489BB8C0001C,0.8
B09248F4A870001D,0.8
B09248B0FCB0001E,0.8
B0924893AA40001F,0.8
B092484CEBD0001G,0.8
B0924803E5C0001H,0.8
B0924853AC70001I,0.8
B09248D82180001J,0.8
B0924806D2E0001K,0.8
B09248B078B0001L,0.8
B09248A94190001M,0.8
B09248ABBD80001N,0.8
B09248B19160001O,0.8
B09248280230001P,0.8
B09248F2EAF0001Q,0.8
B09248BB36B0001R,0.8
B092487D91C0001S,0.8
B0924879F410001T,0.8
B09248EC0FB0001U,0.8
B092486AE450001V,0.8
B09248199F00001W,0.8
B09248578830001X,0.8
B09248874130001Y,0.8
B092483A5540001Z,0.8
B09248603DB00020,0.8
B09248D515400021,0.8
B09248B432D00022,0.8
B0924828A7A00023,0.8
B09248D559E00024,0.8
B09248777EF00025,0.8
B0924898A0B00026,0.8
B09248ABFE700027,0.8
B09248ED57D00028,0.8
B09248303B800029,0.8
B092483A4C70002A,0.8
B09248AD23B0002B,0.8
B09248D104F0002C,0.8
B09248C37AA0002D,0.8
B092482228C0002E,0.8
B09248EA3670002F,0.8
B09248EA7A50002G,0.8
B09248B67BE0002H,0.8
B09248EA4A40002I,0.8
B09248E43520002J,0.8
B09248A80C60002K,0.8
B092488FE8C0002L,0.8
B09248E243B0002M,0.8
B09248DFB1A0002N,0.8
B092487732E0002O,0.8
B092486E3050002P,0.8
B09248BFBC50002Q,0.8
B092484BD2B0002R,0.8
B092483CBC30002S,0.8
B09248129990002T,0.8
B09248AFB200002U,0.8
B092486A1960002V,0.8
B09248A03280002W,0.8
B092483A8C50002X,0.8
B0924845C820002Y,0.8
B09248814370002Z,0.8
B09248BB2D600030,0.8
B092484982500031,0.8
B092481573A00032,0.8
B092484975F00033,0.8
B092489200400034,0.8
B092482BC6000035,0.8
B0924858CB900036,0.8
B092482E6A800037,0.8
B0924892EFF00038,0.8
B092488C24300039,0.8
B09248DC9970003A,0.8
B09248E209E0003B,0.8
B09248BD2A40003C,0.8
B09248EEDB20003D,0.8
B09248330950003E,0.8
B0924894B880003F,0.8
B092487131A0003G,0.8
B09248850810003H,0.8
B09248FCBE00003I,0.8
B09248337060003J,0.8
B09248542D30003K,0.8
B09248C9D010003L,0.8
B092480C7AE0003M,0.8
B0924814F110003N,0.8
B09248D28C80003O,0.8
B09248AC9EA0003P,0.8
B0924857FCC0003Q,0.8
B09248A1C920003R,0.8
B092488F4500003S,0.8
B092485E6EF0003T,0.8
B09248CEA490003U,0.8
B092483B18F0003V,0.8
B0924811C970003W,0.8
B09248A9BA60003X,0.8
B092484AC520003Y,0.8
B09248D868B0003Z,0.8
B0924860D4900040,0.8
B092480985100041,0.8
B09248C59BC00042,0.8
B09248E2EA300043,0.8
B092480713800044,0.8
B092486ED5A00045,0.8
B092488A36F00046,0.8
B0924885F7500047,0.8
B092486DC9C00048,0.8
B0924860AB500049,0.8
B09248FEC770004A,0.8
B092481E6C90004B,0.8
B0924869BE00004C,0.8
B09248E6CC90004D,0.8
B09248AD4560004E,0.8
B09248D02E60004F,0.8
B092487DA830004G,0.8
B09248536E60004H,0.8
B092485D5890004I,0.8
B09248A4D7C0004J,0.8
B09248581BB0004K,0.8
B09248C5AD80004L,0.8
B092488E5310004M,0.8
B09248851EC0004N,0.8
B09248EB8CD0004O,0.8
B09248A20B90004P,0.8
B09248354410004Q,0.8
B09248C1FC40004R,0.8
B092481E1580004S,0.8
B092480265C0004T,0.8
B09248842D60004U,0.8
B09248E00030004V,0.8
B09248C9BCF0004W,0.8
B09248BC51D0004X,0.8
B09248997020004Y,0.8
B092486CF250004Z,0.8
B09248939FA00050,0.8
B092481DDF700051,0.8
B09248AD00300052,0.8
B09248D7A8200053,0.8
B092484881B00054,0.8
B09248AD43700055,0.8
B09248B93AA00056,0.8
B0924801E6E00057,0.8
B09248E8F5800058,0.8
B09248CFA8900059,0.8
B092480135F0005A,0.8
B0924875EEF0005B,0.8
B092488EAF30005C,0.8
B09248C98330005D,0.8
B092485F9740005E,0.8
B092487C89D0005F,0.8
B09248D819B0005G,0.8
B09248AFFD50005H,0.8
B092488449D0005I,0.8
B09248F18410005J,0.8
B09248BC42B0005K,0.8
